StudentID,Age,Gender,MathScore,ScienceScore,EnglishScore,Attendance,Grade,TotalScore,Percentage
50,22,Male,66.0,34.0,75.0,71.17984312102415,D,175.0,58.33
51,23,Female,64.0,64.0,63.0,64.3964808237863,C,191.0,63.67
52,22,Male,75.0,64.0,78.0,80.74751315763272,C,217.0,72.33
53,19,Female,82.0,38.0,74.0,95.59262044214825,D,194.0,64.67
54,20,Male,89.0,87.0,56.0,56.955809707153094,C,232.0,77.33
55,23,Male,92.0,46.0,55.0,55.03973015079433,A,193.0,64.33
56,20,Male,61.0,36.0,76.0,62.80077659268311,C,173.0,57.67
57,24,Male,62.0,75.0,85.0,86.30477930312003,F,222.0,74.0
58,17,Female,96.0,42.0,92.0,79.64814526294109,C,230.0,76.67
59,19,Female,47.0,69.0,77.0,55.11063321125998,B,193.0,64.33
60,21,Male,54.0,71.0,63.0,95.93752611303732,A,188.0,62.67
61,19,Female,83.0,38.0,55.0,89.50423185620434,B,176.0,58.67
62,23,Female,87.0,79.0,65.0,51.15113023938188,B,231.0,77.0
63,21,Male,96.0,56.0,30.0,82.5683605494123,F,182.0,60.67
64,17,Male,75.0,95.0,37.0,88.5623334259869,A,207.0,69.0
65,23,Male,53.0,34.0,81.0,68.7217684860211,A,168.0,56.0
66,18,Female,61.0,58.0,76.0,53.44607696836094,A,195.0,65.0
67,20,Female,76.0,66.0,85.0,53.866053274439366,A,227.0,75.67
68,17,Female,52.0,67.0,43.0,55.21234830259048,A,162.0,54.0
69,20,Male,95.0,37.0,57.0,92.02198159902115,F,189.0,63.0
70,22,Male,56.0,94.0,31.0,95.53430991278566,C,181.0,60.33
71,18,Female,31.0,64.0,63.0,56.14053909228669,B,158.0,52.67
72,18,Female,46.0,74.0,43.0,61.79530172975406,A,163.0,54.33
73,17,Female,62.0,33.0,88.0,58.27602551836449,C,183.0,61.0
74,18,Female,38.0,65.0,85.0,59.316043974706034,C,188.0,62.67
75,21,Male,72.0,99.0,36.0,91.8745394501246,B,207.0,69.0
76,18,Female,77.0,60.0,32.0,66.60732063274695,F,169.0,56.33
77,20,Male,68.0,48.0,52.0,65.57221320228206,D,168.0,56.0
78,20,Female,71.0,90.0,47.0,61.36978104385563,D,208.0,69.33
79,23,Male,55.0,83.0,67.0,80.39471968971293,C,205.0,68.33
80,20,Female,79.0,68.0,44.0,76.99303185564183,B,191.0,63.67
81,23,Female,54.0,48.0,93.0,87.21248259216443,D,195.0,65.0
82,20,Female,53.0,68.0,57.0,60.27899041878187,C,178.0,59.33
83,21,Female,42.0,96.0,68.0,89.38949443572463,F,206.0,68.67
84,24,Male,89.0,74.0,86.0,80.18607658650694,D,249.0,83.0
85,23,Female,36.0,42.0,46.0,55.713365002784386,C,124.0,41.33
86,19,Male,86.0,87.0,73.0,70.72522921018138,C,246.0,82.0
87,22,Male,65.0,49.0,54.0,93.17590703064785,A,168.0,56.0
88,17,Male,74.0,90.0,46.0,76.99303185564183,F,210.0,70.0
89,20,Male,49.0,68.0,42.0,73.28500611594066,A,159.0,53.0
90,18,Female,94.0,30.0,54.0,74.04184890445367,B,178.0,59.33
91,24,Male,37.0,32.0,97.0,95.92273624696506,A,166.0,55.33
92,20,Male,45.0,91.0,39.0,79.35341120682835,A,175.0,58.33
93,18,Male,43.0,92.0,96.0,76.99303185564183,A,231.0,77.0
94,22,Female,44.0,64.0,47.0,95.63747314395644,C,155.0,51.67
95,22,Female,64.0,85.0,63.0,62.411322137857596,F,212.0,70.67
96,22,Female,61.0,62.0,37.0,78.88159770457736,A,160.0,53.33
97,18,Female,92.0,67.0,69.0,58.27566587139869,F,228.0,76.0
98,20,Male,80.0,35.0,63.0,51.69395801232975,A,178.0,59.33
99,22,Male,54.0,87.0,70.0,65.57365855663787,B,211.0,70.33
100,21,Female,87.0,73.0,35.0,89.02478537730438,A,195.0,65.0
101,23,Male,92.0,74.0,81.0,63.87935863147091,D,247.0,82.33
102,18,Female,91.0,61.0,55.0,61.00486070405485,C,207.0,69.0
103,18,Female,51.0,74.0,93.0,60.634039217061314,B,218.0,72.67
104,20,Female,64.0,90.0,88.0,75.75868412034063,A,242.0,80.67
105,18,Female,87.0,76.0,85.0,98.77706578413782,F,248.0,82.67
106,18,Male,64.0,50.0,88.0,72.94944940085065,B,202.0,67.33
107,22,Female,81.0,65.0,99.0,77.86526844450239,B,245.0,81.67
108,20,Female,71.0,48.0,62.0,93.0316008945367,A,181.0,60.33
109,22,Female,99.0,49.0,63.0,76.75348594668293,B,211.0,70.33
110,23,Female,44.0,86.0,63.0,76.99303185564183,F,193.0,64.33
111,24,Female,83.0,64.0,50.0,76.99303185564183,B,197.0,65.67
112,23,Female,89.0,76.0,99.0,65.49684631343055,F,264.0,88.0
113,24,Female,37.0,78.0,99.0,69.8659057728799,A,214.0,71.33
114,22,Male,82.0,43.0,33.0,71.33944526683747,C,158.0,52.67
115,23,Male,89.0,44.0,63.0,89.98910110371347,B,196.0,65.33
116,20,Female,34.0,60.0,91.0,76.99303185564183,A,185.0,61.67
117,17,Male,97.0,30.0,53.0,73.41159142206897,F,180.0,60.0
118,22,Male,35.0,83.0,84.0,81.24879935255261,B,202.0,67.33
119,24,Male,76.0,32.0,38.0,68.88629737200847,D,146.0,48.67
120,21,Female,84.0,45.0,32.0,91.82824066461664,C,161.0,53.67
121,24,Female,69.0,86.0,60.0,79.37268021170371,B,215.0,71.67
122,21,Male,81.0,41.0,69.0,64.70223396104858,C,191.0,63.67
123,18,Female,45.0,45.0,65.0,85.7029599894914,B,155.0,51.67
124,23,Female,42.0,64.0,53.0,76.38238650723929,A,159.0,53.0
125,21,Female,59.0,57.0,35.0,76.72279456286235,C,151.0,50.33
126,24,Female,48.0,37.0,95.0,74.0543974193793,D,180.0,60.0
127,18,Male,64.0,64.0,33.0,74.85059744106245,D,161.0,53.67
128,17,Male,92.0,37.0,35.0,88.26781405331204,F,164.0,54.67
129,20,Female,48.0,87.0,80.0,55.14907396656578,B,215.0,71.67
130,20,Female,87.0,89.0,91.0,66.71814056552411,C,267.0,89.0
131,20,Male,84.0,79.0,86.0,53.775168190194464,F,249.0,83.0
132,21,Male,91.0,57.0,95.0,87.66231103737255,C,243.0,81.0
133,17,Female,52.0,70.0,37.0,63.61509273601497,B,159.0,53.0
134,21,Male,38.0,64.0,55.0,94.87152049094422,D,157.0,52.33
135,23,Female,41.0,56.0,80.0,76.32892333296469,A,177.0,59.0
136,21,Female,30.0,92.0,74.0,90.03748857430605,D,196.0,65.33
137,17,Male,87.0,46.0,73.0,98.94657178079805,F,206.0,68.67
138,17,Male,30.0,62.0,63.0,91.98944297282853,A,155.0,51.67
139,23,Female,63.0,58.0,99.0,93.34968800057618,F,220.0,73.33
140,17,Female,77.0,42.0,55.0,76.99303185564183,B,174.0,58.0
141,24,Male,30.0,75.0,97.0,77.58612976296699,A,202.0,67.33
142,17,Female,45.0,64.0,48.0,62.69442820216521,F,157.0,52.33
143,20,Male,90.0,35.0,49.0,59.80565498467264,B,174.0,58.0
144,24,Female,93.0,64.0,41.0,75.2753939553017,D,198.0,66.0
145,24,Male,92.0,76.0,76.0,76.99303185564183,B,244.0,81.33
146,23,Female,98.0,54.0,30.0,66.96356229480955,C,182.0,60.67
147,19,Male,51.0,95.0,43.0,78.47217588817502,A,189.0,63.0
148,19,Female,96.0,39.0,93.0,94.37302412567516,B,228.0,76.0
149,17,Female,55.0,85.0,67.0,77.8360792391683,C,207.0,69.0
150,24,Male,45.0,59.0,66.0,86.04065481552533,F,170.0,56.67
151,19,Female,80.0,34.0,40.0,90.26574836789526,F,154.0,51.33
152,19,Male,86.0,62.0,63.0,99.43643909777214,B,211.0,70.33
153,17,Male,58.0,94.0,62.0,80.15987010884898,C,214.0,71.33
154,19,Female,98.0,47.0,35.0,90.3425074481293,C,180.0,60.0
155,21,Female,76.0,78.0,79.0,98.13246592774374,D,233.0,77.67
156,18,Male,91.0,40.0,39.0,97.22048627886367,F,170.0,56.67
157,23,Female,98.0,55.0,34.0,57.054092438885675,A,187.0,62.33
158,18,Female,64.0,92.0,52.0,70.3196154136761,F,208.0,69.33
159,17,Male,77.0,88.0,39.0,66.19950305533999,F,204.0,68.0
160,20,Male,68.0,56.0,73.0,54.346250747517466,D,197.0,65.67
161,23,Female,62.0,78.0,31.0,81.66203874554803,A,171.0,57.0
162,17,Male,52.0,62.0,42.0,86.79523065980013,A,156.0,52.0
163,24,Male,39.0,30.0,69.0,92.40640477334418,A,138.0,46.0
164,20,Female,64.0,64.0,31.0,56.13884448313542,A,159.0,53.0
165,18,Male,63.0,84.0,63.0,93.82220379376469,A,210.0,70.0
166,17,Male,81.0,35.0,92.0,82.14627818071267,D,208.0,69.33
167,24,Female,64.0,98.0,46.0,85.19730675692547,F,208.0,69.33
168,23,Female,48.0,64.0,38.0,95.5312001770152,A,150.0,50.0
169,23,Male,87.0,32.0,44.0,81.23806355216256,A,163.0,54.33
170,22,Male,30.0,82.0,53.0,66.79329285749175,C,165.0,55.0
171,24,Female,98.0,52.0,67.0,91.25536657113298,F,217.0,72.33
172,21,Female,33.0,82.0,63.0,68.15296060975453,B,178.0,59.33
173,19,Female,45.0,66.0,78.0,51.71140554102646,D,189.0,63.0
174,20,Female,53.0,46.0,98.0,91.53272532826249,B,197.0,65.67
175,24,Male,64.0,30.0,91.0,67.25960724406377,F,185.0,61.67
176,22,Female,61.0,80.0,89.0,88.69172616006702,A,230.0,76.67
177,19,Female,53.0,74.0,79.0,68.13789473329727,A,206.0,68.67
178,19,Male,41.0,33.0,38.0,93.05340099873608,F,112.0,37.33
179,17,Female,79.0,91.0,63.0,60.975526254047935,A,233.0,77.67
180,19,Male,64.0,94.0,64.0,98.7273632599435,A,222.0,74.0
181,21,Female,62.0,61.0,30.0,88.98793873940154,A,153.0,51.0
182,23,Female,62.0,63.0,69.0,76.99303185564183,D,194.0,64.67
183,22,Female,64.0,68.0,93.0,78.28883099832802,D,225.0,75.0
184,19,Male,80.0,55.0,51.0,99.26836561208674,C,186.0,62.0
185,17,Male,72.0,63.0,89.0,73.55327263469073,B,224.0,74.67
186,21,Female,41.0,83.0,93.0,59.105356941079165,F,217.0,72.33
187,18,Male,96.0,32.0,40.0,74.2389183575173,A,168.0,56.0
188,23,Male,94.0,79.0,43.0,76.99303185564183,F,216.0,72.0
189,23,Male,62.0,41.0,89.0,87.08434721143328,C,192.0,64.0
190,22,Male,69.0,94.0,59.0,84.94229265804522,D,222.0,74.0
191,23,Female,72.0,83.0,64.0,76.99303185564183,C,219.0,73.0
192,19,Male,73.0,34.0,66.0,60.901155374704324,F,173.0,57.67
193,17,Female,58.0,86.0,34.0,82.25270838846647,B,178.0,59.33
194,23,Female,42.0,46.0,55.0,71.08519672766408,A,143.0,47.67
195,23,Male,41.0,76.0,91.0,56.61381055626652,D,208.0,69.33
196,18,Female,75.0,52.0,33.0,95.02861506181928,A,160.0,53.33
197,18,Female,64.0,43.0,71.0,84.56109288048272,C,178.0,59.33
198,20,Female,64.0,95.0,47.0,84.15919282227406,D,206.0,68.67
199,21,Female,37.0,80.0,69.0,91.12919379558369,F,186.0,62.0
200,19,Male,55.0,67.0,63.0,76.48308393275406,F,185.0,61.67
